Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp D26,3713,15735,697,13137,5769
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp HGS0025,0,613,0,162,62
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;s__Tannerella sp 6 1 58FAA CT1,455,213,253,1146,43
k__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus,0,5,0,0,0
k__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni,103,0,38,0,24
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Gemellaceae;g__Gemella;s__Gemella haemolysans,4,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Gemellaceae;g__Gemella;s__Gemella morbillorum,0,0,0,38,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Gemellaceae;g__Gemella;s__Gemella sanguinis,0,5,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis,0,0,8,10,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis,0,23,9,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis,0,0,0,4,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__Granulicatella adiacens,0,5,0,43,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus casseliflavus,0,7,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis,0,5,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecium,22,80,0,0,33
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Dellaglioa;s__Dellaglioa algida,0,0,0,6,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Fructilactobacillus;s__Fructilactobacillus sanfranciscensis,29,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus acidophilus,0,79,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii,40,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,0,5,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc gasicomitatum,0,0,6,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc lactis,0,0,0,10,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides,5,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides,0,0,0,7,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum,0,21,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria,0,19,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris,183,12,9,66,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae,0,0,0,9,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis,23,73,9,725,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus raffinolactis,5,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus Streptococcus sp,222,1472,95,669,34
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae,0,11,38,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus,0,27,0,38,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus australis,0,31,0,18,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equi,28,0,5,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii,0,8,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ilei,0,0,0,8,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantis,40,20,18,36,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus intermedius,0,0,0,5,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis,21,0,29,95,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans,0,18,0,5,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis,0,0,0,9,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis,7,503,0,71,13
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parauberis,0,0,0,6,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius,12,1055,0,71,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis,0,44,0,15,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp 2 1 36FAA,0,20,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus,500,90,0,105,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus timonensis,0,0,0,10,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus vestibularis,0,242,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Borkfalkia;s__Borkfalkia Borkfalkia ceftriaxoniphila,0,310,0,16,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella;s__Christensenella hongkongensis,0,7,0,27,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella;s__Christensenella massiliensis,7,6,10,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella;s__Christensenella minuta,0,5,0,28,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella;s__Christensenella timonensis,0,0,0,12,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__;g__;s__ Bacteroides pectinophilus,221,112,157,616,13
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__;g__Gemmiger;s__Gemmiger formicilis,63,213,25,620,346
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas butyriciproducens,15470,1952,3685,9060,1258
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__;g__Intestinimonas;s__Intestinimonas massiliensis ,19905,12869,7675,6812,219
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__;g__Soleaferrea;s__Soleaferrea Soleaferrea massiliensis,0,0,8,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris,403,0,96,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum desmolans,74,48,151,14,36
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus Butyricicoccus sp,0,0,0,6,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum,68,124,59,61,6
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__;s__ Clostridiaceae bacterium,71676,23331,84290,83606,6623
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__;s__ bacterium MS3,51,0,255,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium Clostridium sp,56093,1877,41994,4258,1532
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium cadaveris,18,0,8,6,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale,0,0,0,9,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium phoceensis,70653,5632,33057,1274,1356
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp 7 3 54FAA,8264,74,3544,355,4338
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp AT4,5438,56,23782,49,1174
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp ATCC 29733,62,88,29,151,76
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp ATCC BAA 442,52300,8453,99959,2992,568
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp D5,6,45,0,39,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp HGF2,619,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp KLE 1755,6094,311,1455,318,531
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp Marseille P299,396,0,222,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp SS2,8968,140,2536,694,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Lactonifactor;s__Lactonifactor longoviformis,166,11,62,41,77
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Massilioclostridium;s__Massilioclostridium coli,2159,19,1053,83,9
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium hafniense,0,0,50,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__;s__ bacterium,14784,8669,3191,9988,2021
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Anaerofustis;s__Anaerofustis stercorihominis,18,0,8,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium Eubacterium sp,489,2469,294,10092,113
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum,0,0,0,34,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium ramulus,505,103,88,84,6
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium sp SB2,222,192,116,65,56
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium ventriosum,95,2175,30,3799,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__;s__ Eubacterium brachy,77,0,31,20,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__;s__ Eubacterium saphenum,60,5,21,4,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__;s__ Eubacterium sulci,4,10,0,240,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ Clostridium leptum,30791,5558,6941,7073,11053
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ Clostridium methylpentosum,184,81,74,22,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ Clostridium viride,0,0,4,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ Eubacterium siraeum,1399,158342,578,21783,1843
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ Oscillospraceae bacterium,316024,176158,138966,384034,23627
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ bacterium,136613,110906,195950,152388,23454
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ bacterium D16,837,1482,598,222,115
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__;s__ bacterium KB18,0,19,11,26,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Acetivibrio;s__Acetivibrio ethanolgignens,99,24,42,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Allofournierella;s__Allofournierella massiliensis,36,935,23,115,13
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Anaerotruncus;s__Anaerotruncus Anaerotruncus sp,50,3712,39,101,28
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Anaerotruncus;s__Anaerotruncus colihominis,30179,1716,17126,455,432
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Faecalibacterium;s__Faecalibacterium Faecalibacterium sp,5304,10173,1886,57575,11503
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Faecalibacterium;s__Faecalibacterium duncaniae,798,11771,407,1566,243
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii,57601,97659,21532,122317,32870
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Faecalispra;s__Faecalispra sprospaeroides,0,45,0,28,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Flavonifractor;s__Flavonifractor Flavonifractor sp,11052,2280,13343,926,93
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Flavonifractor;s__Flavonifractor plautii,28499,1838,26143,541,193
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Neglectibacter;s__Neglectibacter timonensis,51,236,48,467,72
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Oscillibacter;s__Oscillibacter Oscillibacter sp,29594,6471,19538,18563,1203
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus,103,4185,48,1657,12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminiclostridium;s__Ruminiclostridium Ruminiclostridium sp,32,825,23,223,42
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminococcus;s__Ruminococcus Ruminococcus sp,2498,18299,3373,77067,599
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminococcus;s__Ruminococcus bromii,34,2525,0,1432,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminococcus;s__Ruminococcus callidus,24,370,0,2211,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminococcus;s__Ruminococcus flavefaciens,0,0,4,24,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminococcus;s__Ruminococcus gauvreauii,0,6,8,30,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminococcus;s__Ruminococcus sp 5 1 39BFAA,103,117,38,13,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruminococcus;s__Ruminococcus sp SR1,866,116,141,86,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans,9004,946,9521,13003,1190
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Subdoligranulum;s__Subdoligranulum sp 4 3 54A2FAA,7518,856,6056,5010,1847
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospraceae;g__Subdoligranulum;s__Subdoligranulum variabile,63,98,45,426,5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum lactatifermentans,46612,1389,19275,154,29
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum propionicum,12,0,7,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__;s__ Lachnospraceae bacterium,75136,141405,43869,111421,51426
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__;s__ bacterium,688587,457526,420488,345289,153832
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__;s__ bacterium 3 1 57FAA CT1,55,58,55,117,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__;s__ bacterium 6 1 37FAA,318,0,99,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__;s__ bacterium oral taxon 082,0,0,0,0,17
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__;s__ bacterium oral taxon 500,9,0,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Acetatifactor;s__Acetatifactor muris,0,0,0,4,4
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Agathobacter;s__Agathobacter rectalis,4119,9017,2374,2194,140
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii,13402,837,2341,0,6
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Anaerostipes;s__Anaerostipes caccae,97,0,31,4,1617
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Anaerostipes;s__Anaerostipes hadrus,15325,251,4256,1410,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia Blautia sp,52024,2756,19116,3744,5885
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia argi,220,0,181,0,16
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia coccoides,78,0,51,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia faecis,357,1070,131,954,28
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia glucerasea,369,633,63,1011,14
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia hansenii,81,0,71,0,15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia hydrogenotrophica,16,16,10,31,2097
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia luti,426,281,110,143,30
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia massiliensis ,8588,3331,1852,2436,682
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia obeum,597,368,96,1097,107
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia producta,23,29,8,15,18
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Blautia;s__Blautia wexlerae,1518,433,600,91,48
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Coprococcus;s__Coprococcus Coprococcus sp,0,306,0,1723,18
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Coprococcus;s__Coprococcus catus,84,75,21,419,8
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Coprococcus;s__Coprococcus comes,98,456,14,943,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Coprococcus;s__Coprococcus eutactus,24,9,0,44,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Coprococcus;s__Coprococcus sp HPP0074,187,0,252,32,6
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Cuneatibacter;s__Cuneatibacter caecimuris,304,0,76,0,15
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Dorea;s__Dorea Dorea massiliensis,84,414,9,127,13
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Dorea;s__Dorea Dorea sp,6711,269,1361,24,6
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Dorea;s__Dorea formicigenerans,236,438,111,17,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Dorea;s__Dorea longicatena,1247,1274,223,52,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Dorea;s__Dorea sp D27,0,27,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Eisenbergiella;s__Eisenbergiella tayi,2738,104,2037,206,28
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Enterocloster;s__Enterocloster aldenensis,3790,98,1966,189,1178
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Enterocloster;s__Enterocloster aspragiformis,8026,301,6135,273,842
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Enterocloster;s__Enterocloster bolteae,118846,1408,79403,764,20599
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Enterocloster;s__Enterocloster citroniae,2412,99,1056,83,6329
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Enterocloster;s__Enterocloster clostridioformis,223046,1130,145250,1258,299225
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Enterocloster;s__Enterocloster lavalensis,508,701,278,604,23957
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Eshraghiella;s__Eshraghiella crossota,0,36,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Extibacter;s__Extibacter muris,30,6,15,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Faecalicatena;s__Faecalicatena contorta,110,45,26,962,21
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Faecalicatena;s__Faecalicatena fissicatena,51,244,57,0,12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Frisingicoccus;s__Frisingicoccus caecimuris,62,18,17,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnosprales;f__Lachnospraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans,3580,894,1878,1340,16
